id,fecha_generacion,juego,numeros,sorteo_objetivo,estado,aciertos,score_afinidad,hora_dia,algoritmo,nota_especial,fecha_lanzamiento,modalidad
1768627337,2026-01-17 01:58:57,RACHA,"[2, 6, 7, 9, 11, 12, 13, 14, 19, 20]",10301,AUDITADO,7,50.0,1,forense_biometrico_v1,NORMAL,17/01/2026 15:00,
1768625588,2026-01-17 01:36:28,LOTO4,"[3, 7, 20, 21]",11568,AUDITADO,0,0.0,1,forense_biometrico_v1,NORMAL,17/01/2026 14:00,
1768627086,2026-01-17 01:58:57,RACHA,"[2, 4, 5, 6, 9, 12, 13, 14, 15, 17]",10301,AUDITADO,4,5.0,1,oraculo_neural_v3,NORMAL,17/01/2026 15:00,
1768629285,2026-01-17 02:31:25,RACHA,"[2, 3, 4, 6, 7, 9, 15, 16, 18, 19]",10301,AUDITADO,4,5.0,2,forense_biometrico_v1,NORMAL,17/01/2026 15:00,
1768626038,2026-01-17 01:58:57,LOTO,"[2, 5, 26, 27, 34, 41]",5375,AUDITADO,1,0.83,1,gaussiano_inteligente_v1,NORMAL,18/01/2026 21:00,
1768630285,2026-01-17 02:53:26,LOTO3,"[0, 7, 9]",23998,AUDITADO,1,4.0,2,oraculo_neural_v4,NORMAL,17/01/2026 14:00,
1768625677,2026-01-17 01:36:28,LOTO3,"[0, 7, 9]",23998,AUDITADO,1,4.0,1,consenso_meritocratico_v2,🔥 ALTA CONFIANZA,17/01/2026 14:00,
1768618669,2026-01-16 23:40:30,LOTO,"[3, 14, 17, 22, 23, 38]",5375,AUDITADO,2,1.67,23,oraculo_neural_v3,NORMAL,18/01/2026 21:00,
1768625747,2026-01-17 01:36:28,RACHA,"[1, 2, 3, 4, 8, 13, 15, 17, 18, 19]",10301,AUDITADO,6,30.0,1,oraculo_neural_v4,NORMAL,17/01/2026 15:00,
1768630365,2026-01-17 02:53:26,RACHA,"[1, 2, 3, 4, 8, 13, 15, 17, 18, 19]",10301,AUDITADO,6,30.0,2,oraculo_neural_v4,NORMAL,17/01/2026 15:00,
1768625627,2026-01-17 01:36:28,LOTO,"[7, 14, 22, 29, 31, 32]",5375,AUDITADO,1,0.83,1,oraculo_neural_v3,NORMAL,18/01/2026 21:00,
1768630245,2026-01-17 02:53:26,LOTO,"[10, 12, 13, 17, 26, 37]",5375,AUDITADO,1,0.83,2,oraculo_neural_v3,NORMAL,18/01/2026 21:00,
1768622351,2026-01-17 00:47:31,LOTO3,"[3, 8, 9]",23998,AUDITADO,1,4.0,0,forense_biometrico_v1,NORMAL,17/01/2026 14:00,
1768643271,2026-01-17 06:29:22,LOTO4,"[7, 8, 15, 17]",11568,AUDITADO,0,0.0,6,oraculo_neural_v3,NORMAL,17/01/2026 14:00,
1768651941,2026-01-17 08:53:32,LOTO4,"[6, 7, 11, 21]",11568,AUDITADO,2,20.0,8,consenso_meritocratico_v2,🔥 ALTA CONFIANZA,17/01/2026 14:00,
1768646642,2026-01-17 07:26:03,LOTO3,"[0, 7, 9]",23998,AUDITADO,1,4.0,7,oraculo_neural_v4,NORMAL,17/01/2026 14:00,
1768642364,2026-01-17 06:29:22,LOTO,"[3, 16, 22, 37, 38, 41]",5375,AUDITADO,1,0.83,6,delta_dna_v1,NORMAL,18/01/2026 21:00,
